Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,26-11-2025,10:29:57,0:09:22,0.00,114,,,,,69,,,,,,,,,,"30 sec Bulgarian split squats @ 22.5kg single db
30 sec rest 
30 sec turkish sit-ups @ 20kg plate
30 sec rest 

4 rounds",None,None,134,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:07:37,109,,,,,,,,,
,00:07:38,109,,,,,,,,,
,00:07:39,110,,,,,,,,,
,00:07:40,111,,,,,,,,,
,00:07:41,112,,,,,,,,,
,00:07:42,113,,,,,,,,,
,00:07:43,113,,,,,,,,,
,00:07:44,113,,,,,,,,,
,00:07:45,113,,,,,,,,,
,00:07:46,114,,,,,,,,,
,00:07:47,115,,,,,,,,,
,00:07:48,115,,,,,,,,,
,00:07:49,117,,,,,,,,,
,00:07:50,119,,,,,,,,,
,00:07:51,120,,,,,,,,,
,00:07:52,120,,,,,,,,,
,00:07:53,120,,,,,,,,,
,00:07:54,120,,,,,,,,,
,00:07:55,121,,,,,,,,,
,00:07:56,121,,,,,,,,,
,00:07:57,121,,,,,,,,,
,00:07:58,120,,,,,,,,,
,00:07:59,120,,,,,,,,,
,00:08:00,120,,,,,,,,,
,00:08:01,119,,,,,,,,,
,00:08:02,119,,,,,,,,,
,00:08:03,118,,,,,,,,,
,00:08:04,117,,,,,,,,,
,00:08:05,117,,,,,,,,,
,00:08:06,118,,,,,,,,,
,00:08:07,118,,,,,,,,,
,00:08:08,118,,,,,,,,,
,00:08:09,118,,,,,,,,,
,00:08:10,118,,,,,,,,,
,00:08:11,119,,,,,,,,,
,00:08:12,119,,,,,,,,,
,00:08:13,120,,,,,,,,,
,00:08:14,120,,,,,,,,,
,00:08:15,120,,,,,,,,,
,00:08:16,119,,,,,,,,,
,00:08:17,118,,,,,,,,,
,00:08:18,117,,,,,,,,,
,00:08:19,117,,,,,,,,,
,00:08:20,116,,,,,,,,,
,00:08:21,116,,,,,,,,,
,00:08:22,115,,,,,,,,,
,00:08:23,115,,,,,,,,,
,00:08:24,114,,,,,,,,,
,00:08:25,113,,,,,,,,,
,00:08:26,112,,,,,,,,,
,00:08:27,111,,,,,,,,,
,00:08:28,110,,,,,,,,,
,00:08:29,109,,,,,,,,,
,00:08:30,107,,,,,,,,,
,00:08:31,107,,,,,,,,,
,00:08:32,106,,,,,,,,,
,00:08:33,107,,,,,,,,,
,00:08:34,109,,,,,,,,,
,00:08:35,110,,,,,,,,,
,00:08:36,111,,,,,,,,,
,00:08:37,111,,,,,,,,,
,00:08:38,110,,,,,,,,,
,00:08:39,109,,,,,,,,,
,00:08:40,108,,,,,,,,,
,00:08:41,108,,,,,,,,,
,00:08:42,109,,,,,,,,,
,00:08:43,111,,,,,,,,,
,00:08:44,112,,,,,,,,,
,00:08:45,114,,,,,,,,,
,00:08:46,116,,,,,,,,,
,00:08:47,118,,,,,,,,,
,00:08:48,119,,,,,,,,,
,00:08:49,120,,,,,,,,,
,00:08:50,121,,,,,,,,,
,00:08:51,121,,,,,,,,,
,00:08:52,119,,,,,,,,,
,00:08:53,117,,,,,,,,,
